model,Tg,FFV,Tc,Density,Rg,score,extra_info
xgb,0.0386,0.0109,0.0317,0.0216,0.0236,0.0255,polycl-formal
lgbm,0.0330,0.0103,0.0290,0.0214,0.0234,0.0240,polycl-formal
catboost,0.0356,0.0118,0.0325,0.0247,0.0240,0.0264,polybert-formal
catboost,0.0298,0.0090,0.0306,0.0132,0.0249,0.0221,oligomer_rdkit2d-formal
catboost,0.0318,0.0117,0.0303,0.0272,0.0221,0.0256,oligomer_ecfp4-formal
rf,0.0443,,,,,0.0443,rdkit2d-formal-paper
rf,,,0.0445,,,0.0445,rdkit2d-formal-paper
rf,,0.0133,,,,0.0133,rdkit2d-formal-paper
rf,,,,0.0233,,0.0233,rdkit2d-formal-paper
rf,,,,,0.0327,0.0327,rdkit2d-formal-paper
rf,0.1089,,,,,0.1089,rdkit3d-formal-paper
rf,,,0.0668,,,0.0668,rdkit3d-formal-paper
rf,,0.0355,,,,0.0355,rdkit3d-formal-paper
rf,,,,0.0899,,0.0899,rdkit3d-formal-paper
rf,,,,,0.0447,0.0447,rdkit3d-formal-paper
rf,0.0421,,,,,0.0421,mordred-formal-paper
rf,,,0.0417,,,0.0417,mordred-formal-paper
rf,,0.0128,,,,0.0128,mordred-formal-paper
rf,,,,0.0172,,0.0172,mordred-formal-paper
rf,,,,,0.0310,0.0310,mordred-formal-paper
rf,0.0447,,,,,0.0447,ecfp4-formal-paper
rf,,,0.0452,,,0.0452,ecfp4-formal-paper
rf,,0.0155,,,,0.0155,ecfp4-formal-paper
rf,,,,0.0370,,0.0370,ecfp4-formal-paper
rf,,,,,0.0301,0.0301,ecfp4-formal-paper
rf,0.0450,,,,,0.0450,maccs-formal-paper
rf,,,0.0475,,,0.0475,maccs-formal-paper
rf,,0.0158,,,,0.0158,maccs-formal-paper
rf,,,,0.0296,,0.0296,maccs-formal-paper
rf,,,,,0.0330,0.0330,maccs-formal-paper
rf,0.0432,,,,,0.0432,oligomer_rdkit2d-formal-paper
rf,,,0.0439,,,0.0439,oligomer_rdkit2d-formal-paper
rf,,0.0132,,,,0.0132,oligomer_rdkit2d-formal-paper
rf,,,,0.0235,,0.0235,oligomer_rdkit2d-formal-paper
rf,,,,,0.0320,0.0320,oligomer_rdkit2d-formal-paper
rf,0.0410,,,,,0.0410,oligomer_mordred-formal-paper
rf,,,0.0396,,,0.0396,oligomer_mordred-formal-paper
rf,,0.0128,,,,0.0128,oligomer_mordred-formal-paper
rf,,,,0.0173,,0.0173,oligomer_mordred-formal-paper
rf,,,,,0.0302,0.0302,oligomer_mordred-formal-paper
rf,0.0454,,,,,0.0454,oligomer_ecfp4-formal-paper
rf,,,0.0457,,,0.0457,oligomer_ecfp4-formal-paper
rf,,0.0158,,,,0.0158,oligomer_ecfp4-formal-paper
rf,,,,0.0378,,0.0378,oligomer_ecfp4-formal-paper
rf,,,,,0.0306,0.0306,oligomer_ecfp4-formal-paper
rf,0.0524,,,,,0.0524,polybert-formal-paper
rf,,,0.0470,,,0.0470,polybert-formal-paper
xgb,0.0526,,,,,0.0526,rdkit2d-formal-paper
xgb,0.0526,,,,,0.0526,rdkit2d-formal-paper
xgb,,,0.0438,,,0.0438,rdkit2d-formal-paper
xgb,,0.0128,,,,0.0128,rdkit2d-formal-paper
xgb,,,,0.0242,,0.0242,rdkit2d-formal-paper
xgb,,,,,0.0457,0.0457,rdkit2d-formal-paper
xgb,0.1157,,,,,0.1157,rdkit3d-formal-paper
xgb,,,0.0757,,,0.0757,rdkit3d-formal-paper
xgb,,0.0367,,,,0.0367,rdkit3d-formal-paper
xgb,,,,0.1003,,0.1003,rdkit3d-formal-paper
xgb,,,,,0.0573,0.0573,rdkit3d-formal-paper
xgb,0.0422,,,,,0.0422,mordred-formal-paper
xgb,,,0.0423,,,0.0423,mordred-formal-paper
xgb,,0.0137,,,,0.0137,mordred-formal-paper
xgb,,,,0.0178,,0.0178,mordred-formal-paper
xgb,,,,,0.0376,0.0376,mordred-formal-paper
xgb,0.0472,,,,,0.0472,ecfp4-formal-paper
xgb,,,0.0525,,,0.0525,ecfp4-formal-paper
xgb,,0.0178,,,,0.0178,ecfp4-formal-paper
xgb,,,,0.0409,,0.0409,ecfp4-formal-paper
xgb,,,,,0.0336,0.0336,ecfp4-formal-paper
xgb,0.0550,,,,,0.0550,maccs-formal-paper
xgb,,,0.0481,,,0.0481,maccs-formal-paper
xgb,,0.0168,,,,0.0168,maccs-formal-paper
xgb,,,,0.0313,,0.0313,maccs-formal-paper
xgb,,,,,0.0456,0.0456,maccs-formal-paper
xgb,0.0515,,,,,0.0515,oligomer_rdkit2d-formal-paper
xgb,,,0.0446,,,0.0446,oligomer_rdkit2d-formal-paper
xgb,,0.0134,,,,0.0134,oligomer_rdkit2d-formal-paper
xgb,,,,0.0356,,0.0356,oligomer_rdkit2d-formal-paper
xgb,,,,,0.0334,0.0334,oligomer_rdkit2d-formal-paper
xgb,0.0549,,,,,0.0549,oligomer_mordred-formal-paper
xgb,,,0.0539,,,0.0539,oligomer_mordred-formal-paper
xgb,,0.0131,,,,0.0131,oligomer_mordred-formal-paper
xgb,,,,0.0506,,0.0506,oligomer_mordred-formal-paper
xgb,,,,,0.0474,0.0474,oligomer_mordred-formal-paper
xgb,0.0641,,,,,0.0641,oligomer_ecfp4-formal-paper
xgb,,,0.0442,,,0.0442,oligomer_ecfp4-formal-paper
xgb,,0.0157,,,,0.0157,oligomer_ecfp4-formal-paper
xgb,,,,0.0376,,0.0376,oligomer_ecfp4-formal-paper
xgb,,,,,0.0347,0.0347,oligomer_ecfp4-formal-paper
rf,,0.0180,,,,0.0180,polybert-formal-paper
xgb,0.0580,,,,,0.0580,polybert-formal-paper
rf,,,,0.0412,,0.0412,polybert-formal-paper
xgb,,,0.0511,,,0.0511,polybert-formal-paper
xgb,,0.0183,,,,0.0183,polybert-formal-paper
xgb,,,,0.0613,,0.0613,polybert-formal-paper
xgb,,,,,0.0335,0.0335,polybert-formal-paper
rf,,,,,0.0325,0.0325,polybert-formal-paper
lgbm,0.0401,,,,,0.0401,rdkit2d-formal-paper
lgbm,,,0.0402,,,0.0402,rdkit2d-formal-paper
lgbm,,0.0122,,,,0.0122,rdkit2d-formal-paper
lgbm,,,,0.0191,,0.0191,rdkit2d-formal-paper
lgbm,,,,,0.0323,0.0323,rdkit2d-formal-paper
lgbm,0.1076,,,,,0.1076,rdkit3d-formal-paper
lgbm,,,0.0673,,,0.0673,rdkit3d-formal-paper
lgbm,,0.0361,,,,0.0361,rdkit3d-formal-paper
lgbm,,,,0.0827,,0.0827,rdkit3d-formal-paper
lgbm,,,,,0.0469,0.0469,rdkit3d-formal-paper
lgbm,0.0375,,,,,0.0375,mordred-formal-paper
lgbm,,,0.0389,,,0.0389,mordred-formal-paper
lgbm,,0.0103,,,,0.0103,mordred-formal-paper
lgbm,,,,0.0161,,0.0161,mordred-formal-paper
lgbm,,,,,0.0301,0.0301,mordred-formal-paper
lgbm,0.0377,,,,,0.0377,ecfp4-formal-paper
lgbm,,,0.0413,,,0.0413,ecfp4-formal-paper
lgbm,,0.0132,,,,0.0132,ecfp4-formal-paper
lgbm,,,,0.0298,,0.0298,ecfp4-formal-paper
lgbm,,,,,0.0304,0.0304,ecfp4-formal-paper
lgbm,0.0478,,,,,0.0478,maccs-formal-paper
lgbm,,,0.0490,,,0.0490,maccs-formal-paper
lgbm,,0.0152,,,,0.0152,maccs-formal-paper
lgbm,,,,0.0330,,0.0330,maccs-formal-paper
lgbm,,,,,0.0335,0.0335,maccs-formal-paper
lgbm,0.0390,,,,,0.0390,oligomer_rdkit2d-formal-paper
lgbm,,,0.0401,,,0.0401,oligomer_rdkit2d-formal-paper
lgbm,,0.0118,,,,0.0118,oligomer_rdkit2d-formal-paper
lgbm,,,,0.0183,,0.0183,oligomer_rdkit2d-formal-paper
lgbm,,,,,0.0323,0.0323,oligomer_rdkit2d-formal-paper
lgbm,0.0368,,,,,0.0368,oligomer_mordred-formal-paper
lgbm,,,0.0351,,,0.0351,oligomer_mordred-formal-paper
lgbm,,0.0103,,,,0.0103,oligomer_mordred-formal-paper
lgbm,,,,0.0141,,0.0141,oligomer_mordred-formal-paper
lgbm,,,,,0.0282,0.0282,oligomer_mordred-formal-paper
lgbm,0.0375,,,,,0.0375,oligomer_ecfp4-formal-paper
lgbm,,,0.0399,,,0.0399,oligomer_ecfp4-formal-paper
lgbm,,0.0150,,,,0.0150,oligomer_ecfp4-formal-paper
lgbm,,,,0.0350,,0.0350,oligomer_ecfp4-formal-paper
lgbm,,,,,0.0309,0.0309,oligomer_ecfp4-formal-paper
lgbm,0.0423,,,,,0.0423,polybert-formal-paper
lgbm,,,0.0416,,,0.0416,polybert-formal-paper
lgbm,,0.0141,,,,0.0141,polybert-formal-paper
lgbm,,,,0.0336,,0.0336,polybert-formal-paper
lgbm,,,,,0.0309,0.0309,polybert-formal-paper
catboost,0.0409,,,,,0.0409,rdkit2d-formal-paper
catboost,,,0.0424,,,0.0424,rdkit2d-formal-paper
catboost,,0.0112,,,,0.0112,rdkit2d-formal-paper
catboost,,,,0.0195,,0.0195,rdkit2d-formal-paper
catboost,,,,,0.0314,0.0314,rdkit2d-formal-paper
catboost,0.1074,,,,,0.1074,rdkit3d-formal-paper
catboost,,,0.0659,,,0.0659,rdkit3d-formal-paper
catboost,,0.0359,,,,0.0359,rdkit3d-formal-paper
catboost,,,,0.0880,,0.0880,rdkit3d-formal-paper
catboost,,,,,0.0453,0.0453,rdkit3d-formal-paper
catboost,0.0376,,,,,0.0376,mordred-formal-paper
catboost,,,0.0371,,,0.0371,mordred-formal-paper
catboost,,0.0107,,,,0.0107,mordred-formal-paper
catboost,,,,0.0197,,0.0197,mordred-formal-paper
catboost,,,,,0.0302,0.0302,mordred-formal-paper
catboost,0.0376,,,,,0.0376,ecfp4-formal-paper
catboost,,,0.0398,,,0.0398,ecfp4-formal-paper
catboost,,0.0132,,,,0.0132,ecfp4-formal-paper
catboost,,,,0.0305,,0.0305,ecfp4-formal-paper
catboost,,,,,0.0281,0.0281,ecfp4-formal-paper
catboost,0.0443,,,,,0.0443,maccs-formal-paper
catboost,,,0.0453,,,0.0453,maccs-formal-paper
catboost,,0.0149,,,,0.0149,maccs-formal-paper
catboost,,,,0.0274,,0.0274,maccs-formal-paper
catboost,,,,,0.0329,0.0329,maccs-formal-paper
catboost,0.0397,,,,,0.0397,oligomer_rdkit2d-formal-paper
catboost,,,0.0398,,,0.0398,oligomer_rdkit2d-formal-paper
catboost,,0.0112,,,,0.0112,oligomer_rdkit2d-formal-paper
catboost,,,,0.0193,,0.0193,oligomer_rdkit2d-formal-paper
catboost,,,,,0.0310,0.0310,oligomer_rdkit2d-formal-paper
catboost,0.0368,,,,,0.0368,oligomer_mordred-formal-paper
catboost,,,0.0361,,,0.0361,oligomer_mordred-formal-paper
catboost,,0.0101,,,,0.0101,oligomer_mordred-formal-paper
catboost,,,,0.0181,,0.0181,oligomer_mordred-formal-paper
catboost,,,,,0.0307,0.0307,oligomer_mordred-formal-paper
catboost,0.0382,,,,,0.0382,oligomer_ecfp4-formal-paper
catboost,,,0.0390,,,0.0390,oligomer_ecfp4-formal-paper
catboost,0.0435,0.0133,0.0420,0.0299,0.0307,0.0331,polycl-formal-paper
catboost,,0.0136,,,,0.0136,oligomer_ecfp4-formal-paper
catboost,,,,0.0317,,0.0317,oligomer_ecfp4-formal-paper
catboost,,,,,0.0294,0.0294,oligomer_ecfp4-formal-paper
catboost,0.0500,,,,,0.0500,polybert-formal-paper
catboost,,,0.0550,,,0.0550,polybert-formal-paper
catboost,,0.0142,,,,0.0142,polybert-formal-paper
catboost,,,,0.0368,,0.0368,polybert-formal-paper
catboost,,,,,0.0304,0.0304,polybert-formal-paper
rf,0.0504,,,,,0.0504,polycl-formal-paper
rf,0.0504,,,,,0.0504,polycl-formal-paper
rf,,,0.0491,,,0.0491,polycl-formal-paper
rf,,0.0165,,,,0.0165,polycl-formal-paper
rf,,,,0.0389,,0.0389,polycl-formal-paper
rf,,,,,0.0337,0.0337,polycl-formal-paper
xgb,0.0568,,,,,0.0568,polycl-formal-paper
xgb,,,0.0564,,,0.0564,polycl-formal-paper
xgb,,0.0175,,,,0.0175,polycl-formal-paper
xgb,,,,0.0443,,0.0443,polycl-formal-paper
xgb,,,,,0.0359,0.0359,polycl-formal-paper
lgbm,0.0424,,,,,0.0424,polycl-formal-paper
lgbm,,,0.0410,,,0.0410,polycl-formal-paper
lgbm,,0.0130,,,,0.0130,polycl-formal-paper
lgbm,,,,0.0292,,0.0292,polycl-formal-paper
lgbm,,,,,0.0317,0.0317,polycl-formal-paper
