,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,bulk_modulus,c6_gb,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_negativity,electron_affinity,en_allen,en_ghosh,en_pauling,first_ion_en,fusion_enthalpy,gs_bandgap,gs_energy,gs_est_bcc_latcnt,gs_est_fcc_latcnt,gs_mag_moment,gs_volume_per,hhi_p,hhi_r,heat_capacity_mass,heat_capacity_molar,icsd_volume,evaporation_heat,heat_of_formation,lattice_constant,mendeleev_number,melting_point,molar_volume,num_unfilled,num_valance,num_d_unfilled,num_d_valence,num_f_unfilled,num_f_valence,num_p_unfilled,num_p_valence,num_s_unfilled,num_s_valence,period,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_mm3,vdw_radius_uff,sound_velocity,Polarizability
Si,0.14893617021276595,0.4943820224719101,0.7918088737201365,0.17285714285714285,0.11510245901639345,0.44317032040472176,0.2631578947368421,0.04624624624624624,0.4269230769230769,0.5,0.4908256880733945,0.6415094339622641,0.4230769230769231,0.10323438192290652,0.0930423940149626,0.3966597077244259,0.9046356056617147,0.4002119392440834,0.4032034369974159,0.4773869346733668,0.3315390936011216,0.42768313458262347,0.04271190186760968,0.6172886778038589,0.5610064724349881,0.5610064723298198,0.0,0.1765645920615039,0.47959183673469385,0.10989010989010989,0.049776286353467564,0.2641035803937112,0.21506069395208938,0.46480582524271846,0.5287896592244419,0.5186246418338109,0.8252427184466019,0.4405759162303665,0.1700028192839019,0.18181818181818182,0.125,0.0,0.0,0.0,0.0,0.8,0.3333333333333333,0.0,1.0,0.42857142857142855,0.13550501156515035,0.3488372093023256,0.603448275862069,0.6293103448275862,0.6291208791208791,0.8765306122448979,0.11989100817438691,0.09306630764052508
P,0.1595744680851064,0.4794007490636704,0.7610921501706485,0.24285714285714285,0.1269416475409836,0.09325463743676222,0.02894736842105263,0.028078078078078078,0.4115384615384615,0.47844827586206895,0.46788990825688076,0.5911949685534591,0.38461538461538464,0.08063801506424458,0.06216957605985037,0.4572025052192067,0.8770577871098295,0.47085835393853764,0.4674167404542908,0.550251256281407,0.42650689152125026,0.15792163543441226,0.08978892695325451,0.6189813149721634,0.5798552871225487,0.5798552872151984,0.0,0.19496599231201142,0.20408163265306123,0.5604395604395604,0.05376118568232662,0.31475756374686226,0.2039961327747341,0.06043689320388349,0.3719153936545241,0.6848137535816619,0.8737864077669902,0.08306282722513089,0.23992106005074712,0.13636363636363635,0.15625,0.0,0.0,0.0,0.0,0.6,0.5,0.0,1.0,0.42857142857142855,0.1459136468774094,0.0005488372093023255,0.5172413793103449,0.5459770114942529,0.6098901098901099,0.8463265306122448,0.22074893024427347,0.06109054190508246
S,0.1702127659574468,0.4756554307116105,0.7303754266211604,0.22142857142857142,0.13139344262295083,0.12104957841483979,0.020263157894736844,0.021021021021021023,0.40384615384615385,0.44396551724137934,0.43119266055045874,0.5974842767295597,0.38461538461538464,0.09171466548515728,0.06216957605985037,0.5386221294363257,0.9341294949432123,0.5407983044860474,0.5329875856087027,0.6482412060301508,0.4213546563528691,0.014659284497444634,0.12167090286219472,0.7093579982890642,0.6061877368233783,0.6061877367628794,0.0,0.2227519111994126,0.07142857142857142,0.10989010989010989,0.04949664429530201,0.299907517505615,0.27672145235793316,0.012742718446601941,0.3256991774383079,1.0,0.912621359223301,0.10104712041884817,0.21891739498167465,0.09090909090909091,0.1875,0.0,0.0,0.0,0.0,0.4,0.6666666666666666,0.0,1.0,0.42857142857142855,0.14109483423284502,0.0004767441860465116,0.5172413793103449,0.5431034482758621,0.5906593406593407,0.823469387755102,0.20852717154749606,0.048805116122517665
Cl,0.18085106382978725,0.5518869565286985,0.7030716723549488,0.2671428571428571,0.14528688524590166,0.04023608768971332,0.0028947368421052633,0.01457957957957958,0.3923076923076923,0.4267241379310345,0.43577981651376146,0.5849056603773585,0.38461538461538464,0.06911829862649535,0.06216957605985037,0.6597077244258873,1.0,0.5994348286824444,0.5958794882451798,0.7939698492462312,0.5274098463574026,0.027257240204429302,0.13775002762736216,0.8697377148492237,0.5959111297717977,0.5959111296964827,0.0,0.2116140456960221,0.15306122448979592,0.10989010989010989,0.033487136465324384,0.4485268859822962,0.31206359437103875,0.024769417475728157,0.14254054054054055,0.5959885386819485,0.9611650485436893,0.04507853403141361,0.24513673526924162,0.045454545454545456,0.21875,0.0,0.0,0.0,0.0,0.2,0.8333333333333334,0.0,1.0,0.42857142857142855,0.14272506283634775,2.069767441860465e-05,0.5028735632183908,0.5229885057471264,0.5686813186813187,0.8055102040816327,0.011226158038147138,0.03668798384382363
Ar,0.19148936170212766,0.5595499532570143,0.6723549488054608,0.3457142857142857,0.16372131147540983,0.014721753794266441,0.18987969712172278,0.01012012012012012,0.4076923076923077,0.41379310344827586,0.4908256880733945,0.6037735849056604,0.5163684428465124,0.06202924235711121,0.027605985037406484,0.6764091858037579,0.35173923254360007,0.6771458848463442,0.6600227687525977,0.5735166132032992,0.6409631897850715,0.010051107325383304,0.5116587468228534,0.9975386282295324,0.627035646548349,0.6270356465027488,0.0,0.2465339264890079,0.3342990218905947,0.4269006461330404,0.036353467561521254,0.27462016118377597,0.3899452143087334,0.0079126213592233,0.1407105133247946,0.5023877745940782,0.02912621359223301,0.021937172774869108,0.3180152241330702,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.42857142857142855,0.02659984579799538,4.12093023255814e-05,0.5402298850574713,0.5574712643678161,0.5467032967032966,0.7893877551020408,0.017384196185286103,0.02761864692022888
K,0.20212765957446807,0.8801498127340824,0.7986348122866894,0.6471428571428571,0.16023893442622952,0.17655986509274874,0.008157894736842105,0.5870870870870871,0.7807692307692308,0.8448275862068966,0.8853211009174312,0.8631135240998353,0.8461538461538461,0.037926451041205136,0.7246882793017457,0.17118997912317327,0.8665426285429954,0.15330271988696573,0.2217911418710132,0.20603015075376882,0.17654024398769988,0.019889267461669503,0.0,0.9173703174226583,0.8579458979435827,0.8579458979279436,0.0,0.6315092356929987,0.17346938775510204,0.7912087912087912,0.05292225950782998,0.3910688333993923,0.8124395746052206,0.0028276699029126215,0.1045828437132785,0.4995224450811844,0.0970873786407767,0.0881675392670157,0.647589512263885,0.045454545454545456,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5714285714285714,0.1451426368542791,0.23255813953488372,0.7902298850574713,0.7844827586206896,0.8489010989010989,0.7779591836734694,0.10899182561307902,0.7246718276674521
Ca,0.2127659574468085,0.7378277153558053,0.9215017064846417,0.4271428571428571,0.16425409836065574,0.29629005059021923,0.04473684210526316,0.33483483483483484,0.676923076923077,0.7370689655172413,0.6743119266055045,0.8364779874213837,0.6923076923076923,0.06867523260965884,0.42144638403990026,0.20876826722338204,0.8460851316180327,0.21593076651359946,0.2606929561430456,0.25125628140703515,0.24862991744507051,0.07274275979557068,0.0,0.858372375358943,0.6884248989848712,0.6884248990484884,0.0,0.3262644149786205,0.3979591836734694,0.16483516483516483,0.04523210290827741,0.34256837098692033,0.4747019013857557,0.18640776699029127,0.20893066980023503,0.5329512893982807,0.1553398058252427,0.29109947643979056,0.3693261911474485,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.1258673862760216,0.46511627906976744,0.6637931034482759,0.7528735632183908,0.771978021978022,0.6936734693877551,0.20762942779291554,0.4207337596768765
Sc,0.22340425531914893,0.6067415730337079,0.8976109215017065,0.21428571428571427,0.18424552459016394,0.5234401349072513,0.15,0.23573573573573572,0.6538461538461539,0.6379310344827587,0.5321100917431193,0.7169811320754716,0.6153846153846154,0.13247673903411608,0.3548129675810474,0.2839248434237996,0.8530963240033071,0.24874602613917352,0.2696635736099315,0.3417085427135679,0.2668640632695129,0.1201022146507666,0.0,0.5576107927823197,0.5769700711772512,0.5769700712920071,3.008533622708469e-06,0.1920701420982162,0.5612244897959183,0.4945054945054945,0.039709172259507826,0.3371647509578544,0.26812761843377375,0.40376213592233007,0.44394829612220915,0.3161413562559694,0.18446601941747573,0.474869109947644,0.21144629264166903,0.4090909090909091,0.09375,1.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.1071703932151118,0.037209302325581395,0.617816091954023,0.7413793103448276,0.717032967032967,0.6724489795918367,0.2752541335890928,0.29956243688993606
Ti,0.23404255319148937,0.550561797752809,0.8771331058020477,0.1514285714285714,0.19617622950819671,0.6003372681281619,0.2894736842105263,0.18018018018018017,0.6153846153846154,0.5862068965517241,0.536697247706422,0.6792452830188679,0.5384615384615384,0.20115197164377493,0.2851371571072319,0.32150313152400833,0.8484207659121789,0.28859060402684567,0.2786545203202082,0.3869346733668342,0.2777082412214034,0.12052810902896081,0.0,0.4543067138410444,0.5243561348804224,0.5243561348912777,1.0660158505659928e-05,0.1441713816784002,0.11224489795918367,0.17582417582417584,0.0366331096196868,0.3310873298982692,0.1898163067998711,0.5128640776699029,0.5558166862514688,0.2817574021012416,0.49514563106796117,0.5060209424083769,0.14998590358049058,0.36363636363636365,0.125,0.8888888888888888,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.10080956052428683,0.05116279069767442,0.6063218390804598,0.7068965517241379,0.6565934065934066,0.6479591836734694,0.22561307901907357,0.24570851565129584
V,0.24468085106382978,0.50187265917603,0.8600682593856656,0.11928571428571429,0.2087766393442623,0.6155143338954469,0.42105263157894735,0.14339339339339338,0.5884615384615385,0.5775862068965517,0.5137614678899083,0.6666666666666666,0.5192307692307693,0.2707133362871068,0.2427431421446384,0.34029227557411273,0.8675519485602818,0.3201342281879195,0.28762355662371925,0.40954773869346733,0.2743760449209182,0.18313458262350937,0.0,0.3735869156891974,0.4825770602323486,0.48257706029853037,0.0,0.11238284455578111,0.336734693877551,0.37362637362637363,0.03418624161073825,0.3288413264632052,0.14910301858416586,0.558252427184466,0.6057579318448884,0.28844317096466093,0.5242718446601942,0.5654450261780105,0.11728221031857909,0.3181818181818182,0.15625,0.7777777777777778,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.09348496530454896,0.07209302325581396,0.5948275862068966,0.6954022988505747,0.6291208791208791,0.6416326530612244,0.24850136239782017,0.20868394479973074
Cr,0.2553191489361702,0.4868913857677903,0.7952218430034129,0.10328571428571429,0.21309877049180329,0.4966273187183811,0.42105263157894735,0.10645645645645646,0.5346153846153846,0.5258620689655172,0.5091743119266054,0.6477987421383647,0.5384615384615384,0.31812140008861317,0.19551122194513718,0.3465553235908142,0.8736001475588975,0.34510773578240905,0.29659304468819464,0.41708542713567837,0.27520248491635163,0.1788756388415673,0.0,0.33430608818356716,0.4589347432395869,0.45893474327204054,0.0,0.09666133978318144,0.3163265306122449,0.45054945054945056,0.031389821029082776,0.3084951776985071,0.12901493178644322,0.41504854368932037,0.46707403055229146,0.2750716332378223,0.5533980582524272,0.5575916230366492,0.10191711305328448,0.2727272727272727,0.1875,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5714285714285714,0.09406322282189669,0.2186046511627907,0.5919540229885057,0.7040229885057471,0.6181318681318682,0.6169387755102042,0.3237057220708447,0.19522046449007066
Mn,0.26595744680851063,0.5056179775280899,0.825938566552901,0.10557142857142857,0.22515591803278687,0.3768971332209106,0.3157894736842105,0.09534534534534535,0.5769230769230769,0.5129310344827587,0.481651376146789,0.6477987421383647,0.5384615384615384,0.31945059813912274,0.16658354114713217,0.3235908141962422,0.9552736035687232,0.36524196397032854,0.30558105495220367,0.38944723618090454,0.30235095742382057,0.10996592844974445,0.0,0.3679488586424193,0.4491238200308591,0.44912382002002127,0.00014693062293038946,0.09059375640305792,0.16326530612244897,0.1978021978021978,0.033487136465324384,0.34773417888756775,0.13105596734343108,0.2682038834951456,0.3329024676850764,0.8490926456542502,0.5825242718446602,0.39712041884816757,0.10360868339441781,0.22727272727272727,0.21875,0.5555555555555556,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.09194294525828836,0.01813953488372093,0.5890804597701149,0.7040229885057471,0.6153846153846154,0.6042857142857143,0.28065395095367845,0.15819589363850556
Fe,0.2765957446808511,0.47191011235955055,0.7713310580204779,0.10142857142857142,0.22887295081967213,0.5097807757166948,0.4473684210526316,0.08228228228228228,0.5461538461538461,0.5,0.5,0.6415094339622641,0.5384615384615384,0.3488701816570669,0.15942643391521197,0.38204592901878914,0.8515092079540251,0.37583892617449666,0.31454579952655454,0.45979899497487436,0.3214005620035997,0.1176320272572402,0.0,0.4189229736467487,0.4525578979873519,0.4525578980919102,1.0,0.09268777264285406,0.24489795918367346,0.15384615384615385,0.031389821029082776,0.33161580129475493,0.12654420453324738,0.41262135922330095,0.4882491186839013,0.274116523400191,0.5922330097087378,0.4732984293193717,0.09994361432196222,0.18181818181818182,0.25,0.4444444444444444,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.08538936006168081,0.18604651162790697,0.5862068965517241,0.7011494252873564,0.6126373626373627,0.5942857142857143,0.267574931880109,0.1413665432514305
Co,0.2872340425531915,0.4681647940074906,0.757679180887372,0.09571428571428571,0.24152948360655735,0.5300168634064081,0.47368421052631576,0.06921921921921922,0.5307692307692308,0.47844827586206895,0.4724770642201835,0.6037735849056604,0.5192307692307693,0.3943287549844927,0.1439152119700748,0.3924843423799582,0.8734395683044345,0.3836100317908866,0.32354284500984837,0.4723618090452261,0.32053060376037523,0.13798977853492334,0.0,0.5024901876993096,0.44563390817882836,0.4456339082015225,0.7336421525977527,0.08849825076663931,0.3163265306122449,0.2967032967032967,0.029432326621923934,0.3277843836702338,0.11945429154581587,0.4722087378640777,0.5014101057579319,0.23973256924546318,0.6213592233009708,0.46282722513089003,0.09402311812799549,0.13636363636363635,0.28125,0.3333333333333333,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.08789514263685429,0.23255813953488372,0.5747126436781609,0.6896551724137931,0.6126373626373627,0.5861224489795918,0.2572207084468665,0.12622012790306295
Ni,0.2978723404255319,0.46441947565543074,0.7474402730375427,0.09428571428571428,0.2405467213114754,0.5067453625632378,0.47368421052631576,0.05900900900900901,0.47692307692307695,0.47413793103448276,0.463302752293578,0.6352201257861635,0.5192307692307693,0.3944173681878601,0.12743142144638403,0.3987473903966597,0.8946187114547955,0.39314729777463797,0.33251142955239527,0.47989949748743715,0.3107202892279688,0.14889267461669506,0.0,0.6088697510016798,0.446718707807487,0.4467187078278472,0.28208897224132623,0.08914611497430139,0.10204081632653061,0.16483516483516483,0.03104026845637584,0.3444312326595323,0.11666129552046406,0.4594660194174758,0.5054054054054055,0.3361986628462273,0.6504854368932039,0.4518324607329843,0.09289540456723992,0.09090909090909091,0.3125,0.2222222222222222,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.08538936006168081,0.2116279069767442,0.5660919540229885,0.6896551724137931,0.6098901098901099,0.5783673469387755,0.27084468664850136,0.11443958263211039
Cu,0.30851063829787234,0.4794007490636704,0.7406143344709898,0.10142857142857142,0.26043442622950824,0.47892074198988194,0.3684210526315789,0.03963963963963964,0.5076923076923077,0.4827586206896552,0.5275229357798165,0.7547169811320755,0.5192307692307693,0.39698715108551175,0.11596009975062344,0.3966597077244259,0.8980074186951547,0.38714235252560936,0.34146713890746133,0.4773869346733668,0.31424160688567687,0.11584327086882452,0.0,0.7382444438964963,0.45728832641097467,0.4572883264111988,0.0,0.09562475705092213,0.16326530612244897,0.16483516483516483,0.026915548098434005,0.32289602325274147,0.12686647330540338,0.3696601941747573,0.3964747356051704,0.3447946513849092,0.6990291262135923,0.355130890052356,0.10022554271215112,0.045454545454545456,0.34375,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5714285714285714,0.07420971472629145,0.9302325581395349,0.5632183908045977,0.6839080459770115,0.6208791208791209,0.713265306122449,0.19455040871934604,0.10434197239986537
Zn,0.3191489361702128,0.5168539325842697,0.757679180887372,0.13142857142857142,0.26795081967213114,0.19898819561551434,0.18421052631578946,0.04144144144144144,0.46923076923076923,0.5086206896551724,0.5504587155963303,0.6434351233574033,0.5192307692307693,0.3160389898094816,0.0967581047381546,0.34446764091858034,0.9445476063960876,0.3318615330271989,0.35045763385677364,0.414572864321608,0.38207390643015465,0.06020442930153321,0.0,0.9074914281479174,0.4940482675862257,0.49404826749562286,0.0,0.12058912451950073,0.16326530612244897,0.2087912087912088,0.027125279642058166,0.33544721891927604,0.1631754216349769,0.13932038834951457,0.15323149236192715,0.25405921680993315,0.7378640776699029,0.18134293193717277,0.12912320270651256,0.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.07478797224363917,0.27906976744186046,0.5775862068965517,0.6867816091954023,0.6291208791208791,0.5638775510204082,0.2016348773841962,0.09676876472568159
