SMILES,Density,id
*CC(C[N-][N+]#N)O*,1.29,223
*CCSSSS*,1.46405,224
*CC(C)S*,1.2,225
*CC(S*)C(C)(C)C,1.09,226
*CC(CC)S*,1.093,227
*CC(COCC=C)S*,1.123,228
*CCCS*,1.16,229
*CC(C)(C)CS*,1.098,230
*CCCCS*,1.2,231
*CCCCCS*,1.1725,232
*CCCCCCS*,1.0795,233
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCS*)cc1,1.2005,234
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCS*)cc1,1.175,235
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCS*)cc1,1.157,236
*CCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCCS*)cc1,1.127,237
*CCCCC(=O)NCCc1ccc(CCNC(=O)CCCCS*)cc1,1.174,238
*CCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCS*)cc1,1.148,239
*CCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCS*)cc1,1.132,240
*CCCCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCCCS*)cc1,1.106,241
*Oc1ccc(Sc2ccc(OC(*)=O)cc2)cc1,1.4275,242
*c1ccc2nc(*)sc2c1,1.628,243
*c1ccc(-c2nc3cc4sc(*)nc4cc3s2)cc1,1.71,244
*CCOC(=O)C(=O)O*,1.59,245
*CCOC(=O)CCC(=O)O*,1.384,246
*CCCCOC(=O)CCC(=O)O*,1.2969,247
*CCCOC(=O)CCCC(=O)O*,1.301,248
*CCOC(=O)CCCCC(=O)O*,1.25,249
*CCCOC(=O)CCCCC(=O)O*,1.271,250
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,1.087,251
*CCOC(=O)CCCCCCC(=O)O*,1.237,252
*CCOC(=O)CCCCCCCC(=O)O*,1.172,253
*CCCCCCCCCOC(=O)CCCCCCCC(=O)O*,0.9471350775,254
*CCCCCCCCCCOC(=O)CCCCCCCC(=O)O*,0.9352034595000001,255
*CCOC(=O)CCCCCCCCC(=O)O*,1.169,256
*CCCOC(=O)CCCCCCCCC(=O)O*,1.31,257
*CCCCCCOC(=O)CCCCCCCCC(=O)O*,1.1115,258
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.38,259
*CCOC(=O)c1cccc(C(=O)O*)c1,1.3596,260
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,1.2938,261
*CCCCOC(=O)c1cccc(C(=O)O*)c1,1.309,262
*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.2995,263
*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.262,264
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.046,265
*CC1CCC(COC(=O)c2ccc(C(=O)O*)cc2)CC1,1.23,266
*CCOC(=O)c1ccc2ccc(C(=O)O*)cc2c1,1.35,267
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,1.35,268
*CCCCOC(=O)CCCCC(=O)O*,1.13,269
*OC1CCC(OC(=O)CCCCC(*)=O)CC1,1.218,270
*CCOC(=O)c1ccccc1C(=O)O*,1.37925,271
*Oc1cccc(OC(=O)c2cccc(C(*)=O)c2)c1,1.34,272
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,1.167,273
*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)c3ccccc3-c3ccccc32)cc1,1.211,274
*c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,1.315,275
*CCOC(=O)c1cccc2c(C(=O)O*)cccc12,1.38,276
*CCOC(=O)c1ccc(C(=O)O*)c2ccccc12,1.36,277
*CC(=O)O*,1.563,278
*CCCCCCC(=O)O*,1.076,279
*CCCCCCCCCC(=O)O*,1.06775,280
*CCCCCOC(=O)CCCCCC(=O)O*,1.151,281
*CCCCCCOC(=O)CCCCC(=O)O*,1.222,282
*OC(C)CCC(C)OC(=O)CCCCC(*)=O,1.076,283
*CCOC(=O)/C=C/C(=O)O*,1.353,284
*CCCOC(=O)c1ccc(C(=O)O*)cc1,1.3327,285
*CCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,1.034,286
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1-c1ccccc1,1.3065,287
*Oc1ccc(-c2ccc(OC(=O)CCCCCC(*)=O)cc2)cc1,1.262,288
*Oc1ccc(-c2ccc(OC(=O)CCCCCCC(*)=O)cc2)cc1,1.253,289
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCC(*)=O)cc2)cc1,1.224,290
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)cc1,1.239,291
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCC(*)=O)cc2)cc1,1.204,292
*CCCCCCOC(=O)c1cccc(C(=O)O*)c1,1.109,293
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCC(*)=O)cc2)cc1,1.208,294
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCC(*)=O)cc2)cc1,1.176,295
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCCC(*)=O)cc2)cc1,1.185,296
*CC1CCC(COC(=O)CCCCC(=O)O*)CC1,1.1655,297
*CC1CCC(COC(=O)CCC(=O)O*)CC1,1.259,298
*CCOC(=O)CCCCCC(=O)O*,1.278,299
*Oc1ccc(C(*)=O)cc1,1.48,300
*OC(C)CC(*)=O,1.237,301
*OC(C)C(*)=O,1.256,302
*CCC(=O)O*,1.422,303
*OC(CC(*)=O)C(Cl)Cl,1.675,304
*CC(CC)(CC)C(=O)O*,1.05,305
*CC(C)(C)C(=O)O*,1.21,306
*OC(CC)CC(*)=O,1.24,307
*CC(C)(CC)C(=O)O*,1.1,308
*OC(CC(*)=O)C(C)C,1.155,309
*CC(C)(CCC)C(=O)O*,1.07,310
*OC(CC(*)=O)C(Cl)(Cl)Cl,1.81,311
*Oc1ccc(OC(=O)CCCCC(*)=O)cc1,1.287,312
*OC(=C)CC(*)=O,1.38,313
*Sc1ccc(-c2ccc(SC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.335,314
*CC1CCC(COC(=O)C2CCC(C(=O)O*)CC2)CC1,1.14,315
*CCOC(=O)C1CCC(C(=O)O*)CC1,1.2187,316
*CCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.32,317
*CCCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,1.176,318
*CCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,1.213,319
*CCCCCC(=O)NCCCCCCNC(=O)CCCCCOC(=O)CCCCC(=O)O*,1.135,320
*CCCCCCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,1.2155,321
*CCCCCCOC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,1.2775,322
*CCCCCCOC(=O)CCCCCCCC(=O)O*,1.0312,323
*CCCCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.284,324
*CCCCCCOC(=O)CCCCCC(=O)O*,1.021,325
*CCc1ccc(CCOC(=O)c2ccc(C(=O)O*)cc2)cc1,1.51,326
