SMILES,Density,id
*CC(*)c1ccc(Cl)c(Cl)c1,1.2540347504999998,10284
*CC(*)c1ccc(C(C)(C)C)cc1,0.90327951,10285
*NCCCCCCNC(=O)c1cccc(C(*)=O)c1,1.149,10286
*OC(=O)Oc1ccc(C(C)c2ccc(*)cc2)cc1,1.209,10287
*OC(=O)Oc1ccc(C(C)(CC)c2ccc(*)cc2)cc1,1.153,10289
*CC(*)c1ccccc1C,0.9844744105000001,10290
*CC(*)(C)c1ccccc1,0.9782691905,10291
*OC(=O)Oc1ccc(C(C)(CCC)c2ccc(*)cc2)cc1,1.128,10292
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)c(C)c2)cc1Cl,1.281,10293
*Oc1cccc(OC(=O)c2cccc(C(*)=O)c2)c1,1.06,10294
*CC(*)c1ccc(CO)cc1,1.103,10296
*OC(=O)Oc1ccc(C(C)(CC)c2ccc(*)cc2Cl)c(Cl)c1,1.081,10297
*CC(*)c1cc(C)ccc1C,0.939556147,10299
*CC(*)N1CCCC1=O,1.1196432619999999,10301
*CC(*)c1ccc(Cl)cc1C,1.1089840595,10302
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)cc2)cc1Cl,1.252,10303
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)cc2Cl)c(Cl)c1,1.225,10305
*OC(=O)Oc1ccc(Cc2ccc(*)cc2)cc1,1.242,10306
*Oc1ccc(C(*)=O)cc1,1.322,10307
*OC(=O)Oc1ccc(C(CCC)(CCC)c2ccc(*)cc2)cc1,1.073,10308
*OC(=O)Oc1ccc(C(c2ccc(*)cc2)C(C)C)cc1,1.141,10309
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.1275784005,10311
*CC(*)c1ccc2ccccc2c1,1.052881194,10312
*OC(=O)Oc1ccc(C(=C(Cl)Cl)c2ccc(*)cc2)cc1,1.365,10314
*CC(*)c1cccc2ccccc12,1.061032693,10315
*CC(*)c1ccccc1CO,1.114,10316
*CC(*)(C#N)C(=O)OC,1.214,10317
*OC(=O)Oc1ccc(C2(c3ccc(*)cc3)CCCC2)cc1,1.191,10318
*OC(=O)c1ccc(C(=O)Oc2ccc(C(C)(C)c3ccc(*)c(C)c3)cc2C)cc1,1.115,10319
*OC(=O)Oc1ccc(C2(c3ccc(*)cc3)CCCCC2)cc1,1.162,10320
*OC(=O)Oc1ccc(C(C)(c2ccccc2)c2ccc(*)cc2)cc1,1.477,10321
